"subj"	"group"	"cb"	"age"	"gender"	"hand"	"trial"	"stimtype"	"stim1"	"stim2"	"rating"
601	2	2	21	"m"	"r"	1	14	10	0	599
601	2	2	21	"m"	"r"	2	9	5	6	1
601	2	2	21	"m"	"r"	3	10	7	0	1
601	2	2	21	"m"	"r"	4	15	11	12	1
601	2	2	21	"m"	"r"	5	11	8	0	1
601	2	2	21	"m"	"r"	6	2	2	0	599
601	2	2	21	"m"	"r"	7	21	12	0	118
601	2	2	21	"m"	"r"	8	24	16	0	58
601	2	2	21	"m"	"r"	9	16	13	0	2
601	2	2	21	"m"	"r"	10	19	9	10	43
601	2	2	21	"m"	"r"	11	12	7	8	2
601	2	2	21	"m"	"r"	12	8	6	0	599
601	2	2	21	"m"	"r"	13	3	1	2	1
601	2	2	21	"m"	"r"	14	6	3	4	599
601	2	2	21	"m"	"r"	15	22	13	14	419
601	2	2	21	"m"	"r"	16	7	5	0	597
601	2	2	21	"m"	"r"	17	13	9	0	599
601	2	2	21	"m"	"r"	18	23	15	0	119
601	2	2	21	"m"	"r"	19	20	11	0	417
601	2	2	21	"m"	"r"	20	5	4	0	50
601	2	2	21	"m"	"r"	21	1	1	0	599
601	2	2	21	"m"	"r"	22	4	3	0	2
601	2	2	21	"m"	"r"	23	17	14	0	426
601	2	2	21	"m"	"r"	24	18	15	16	599
602	3	1	19	"f"	"r"	1	24	16	0	120
602	3	1	19	"f"	"r"	2	1	1	0	480
602	3	1	19	"f"	"r"	3	17	14	0	63
602	3	1	19	"f"	"r"	4	4	3	0	63
602	3	1	19	"f"	"r"	5	16	13	0	61
602	3	1	19	"f"	"r"	6	21	12	0	120
602	3	1	19	"f"	"r"	7	20	11	0	125
602	3	1	19	"f"	"r"	8	22	13	14	69
602	3	1	19	"f"	"r"	9	2	2	0	478
602	3	1	19	"f"	"r"	10	8	6	0	477
602	3	1	19	"f"	"r"	11	18	15	16	299
602	3	1	19	"f"	"r"	12	10	7	0	243
602	3	1	19	"f"	"r"	13	15	11	12	303
602	3	1	19	"f"	"r"	14	19	9	10	241
602	3	1	19	"f"	"r"	15	9	5	6	297
602	3	1	19	"f"	"r"	16	12	7	8	182
602	3	1	19	"f"	"r"	17	6	3	4	186
602	3	1	19	"f"	"r"	18	3	1	2	186
602	3	1	19	"f"	"r"	19	23	15	0	244
602	3	1	19	"f"	"r"	20	11	8	0	243
602	3	1	19	"f"	"r"	21	14	10	0	359
602	3	1	19	"f"	"r"	22	7	5	0	359
602	3	1	19	"f"	"r"	23	5	4	0	242
602	3	1	19	"f"	"r"	24	13	9	0	476
603	3	2	18	"m"	"R"	1	21	12	0	300
603	3	2	18	"m"	"R"	2	20	11	0	298
603	3	2	18	"m"	"R"	3	10	7	0	1
603	3	2	18	"m"	"R"	4	9	5	6	1
603	3	2	18	"m"	"R"	5	24	16	0	1
603	3	2	18	"m"	"R"	6	4	3	0	3
603	3	2	18	"m"	"R"	7	12	7	8	597
603	3	2	18	"m"	"R"	8	19	9	10	1
603	3	2	18	"m"	"R"	9	6	3	4	598
603	3	2	18	"m"	"R"	10	11	8	0	7
603	3	2	18	"m"	"R"	11	2	2	0	597
603	3	2	18	"m"	"R"	12	17	14	0	8
603	3	2	18	"m"	"R"	13	8	6	0	599
603	3	2	18	"m"	"R"	14	22	13	14	597
603	3	2	18	"m"	"R"	15	18	15	16	596
603	3	2	18	"m"	"R"	16	14	10	0	302
603	3	2	18	"m"	"R"	17	15	11	12	6
603	3	2	18	"m"	"R"	18	7	5	0	479
603	3	2	18	"m"	"R"	19	1	1	0	599
603	3	2	18	"m"	"R"	20	5	4	0	1
603	3	2	18	"m"	"R"	21	23	15	0	2
603	3	2	18	"m"	"R"	22	3	1	2	2
603	3	2	18	"m"	"R"	23	13	9	0	599
603	3	2	18	"m"	"R"	24	16	13	0	1
605	2	2	19	"f"	"r"	1	15	11	12	2
605	2	2	19	"f"	"r"	2	8	6	0	539
605	2	2	19	"f"	"r"	3	5	4	0	2
605	2	2	19	"f"	"r"	4	13	9	0	538
605	2	2	19	"f"	"r"	5	22	13	14	363
605	2	2	19	"f"	"r"	6	6	3	4	597
605	2	2	19	"f"	"r"	7	17	14	0	58
605	2	2	19	"f"	"r"	8	11	8	0	10
605	2	2	19	"f"	"r"	9	12	7	8	597
605	2	2	19	"f"	"r"	10	23	15	0	301
605	2	2	19	"f"	"r"	11	10	7	0	4
605	2	2	19	"f"	"r"	12	1	1	0	422
605	2	2	19	"f"	"r"	13	3	1	2	1
605	2	2	19	"f"	"r"	14	20	11	0	300
605	2	2	19	"f"	"r"	15	9	5	6	61
605	2	2	19	"f"	"r"	16	24	16	0	299
605	2	2	19	"f"	"r"	17	4	3	0	9
605	2	2	19	"f"	"r"	18	21	12	0	299
605	2	2	19	"f"	"r"	19	16	13	0	4
605	2	2	19	"f"	"r"	20	2	2	0	598
605	2	2	19	"f"	"r"	21	14	10	0	592
605	2	2	19	"f"	"r"	22	7	5	0	481
605	2	2	19	"f"	"r"	23	18	15	16	593
605	2	2	19	"f"	"r"	24	19	9	10	118
607	3	2	22	"m"	"r"	1	17	14	0	63
607	3	2	22	"m"	"r"	2	9	5	6	449
607	3	2	22	"m"	"r"	3	14	10	0	598
607	3	2	22	"m"	"r"	4	12	7	8	14
607	3	2	22	"m"	"r"	5	23	15	0	599
607	3	2	22	"m"	"r"	6	3	1	2	596
607	3	2	22	"m"	"r"	7	8	6	0	240
607	3	2	22	"m"	"r"	8	7	5	0	537
607	3	2	22	"m"	"r"	9	18	15	16	597
607	3	2	22	"m"	"r"	10	20	11	0	63
607	3	2	22	"m"	"r"	11	5	4	0	19
607	3	2	22	"m"	"r"	12	10	7	0	5
607	3	2	22	"m"	"r"	13	6	3	4	364
607	3	2	22	"m"	"r"	14	16	13	0	10
607	3	2	22	"m"	"r"	15	4	3	0	45
607	3	2	22	"m"	"r"	16	2	2	0	552
607	3	2	22	"m"	"r"	17	11	8	0	31
607	3	2	22	"m"	"r"	18	21	12	0	60
607	3	2	22	"m"	"r"	19	19	9	10	491
607	3	2	22	"m"	"r"	20	22	13	14	26
607	3	2	22	"m"	"r"	21	13	9	0	560
607	3	2	22	"m"	"r"	22	1	1	0	544
607	3	2	22	"m"	"r"	23	24	16	0	541
607	3	2	22	"m"	"r"	24	15	11	12	434
608	2	1	18	"m"	"r"	1	21	12	0	300
608	2	1	18	"m"	"r"	2	24	16	0	300
608	2	1	18	"m"	"r"	3	8	6	0	599
608	2	1	18	"m"	"r"	4	3	1	2	1
608	2	1	18	"m"	"r"	5	9	5	6	1
608	2	1	18	"m"	"r"	6	7	5	0	597
608	2	1	18	"m"	"r"	7	2	2	0	599
608	2	1	18	"m"	"r"	8	23	15	0	301
608	2	1	18	"m"	"r"	9	19	9	10	301
608	2	1	18	"m"	"r"	10	16	13	0	1
608	2	1	18	"m"	"r"	11	5	4	0	1
608	2	1	18	"m"	"r"	12	4	3	0	3
608	2	1	18	"m"	"r"	13	11	8	0	1
608	2	1	18	"m"	"r"	14	13	9	0	598
608	2	1	18	"m"	"r"	15	17	14	0	4
608	2	1	18	"m"	"r"	16	6	3	4	598
608	2	1	18	"m"	"r"	17	15	11	12	1
608	2	1	18	"m"	"r"	18	20	11	0	301
608	2	1	18	"m"	"r"	19	18	15	16	599
608	2	1	18	"m"	"r"	20	14	10	0	597
608	2	1	18	"m"	"r"	21	1	1	0	599
608	2	1	18	"m"	"r"	22	12	7	8	599
608	2	1	18	"m"	"r"	23	22	13	14	302
608	2	1	18	"m"	"r"	24	10	7	0	2
609	3	2	19	"m"	"r"	1	20	11	0	64
609	3	2	19	"m"	"r"	2	2	2	0	597
609	3	2	19	"m"	"r"	3	11	8	0	1
609	3	2	19	"m"	"r"	4	9	5	6	6
609	3	2	19	"m"	"r"	5	21	12	0	63
609	3	2	19	"m"	"r"	6	10	7	0	8
609	3	2	19	"m"	"r"	7	6	3	4	595
609	3	2	19	"m"	"r"	8	19	9	10	244
609	3	2	19	"m"	"r"	9	5	4	0	8
609	3	2	19	"m"	"r"	10	12	7	8	597
609	3	2	19	"m"	"r"	11	24	16	0	55
609	3	2	19	"m"	"r"	12	7	5	0	597
609	3	2	19	"m"	"r"	13	4	3	0	3
609	3	2	19	"m"	"r"	14	23	15	0	124
609	3	2	19	"m"	"r"	15	17	14	0	4
609	3	2	19	"m"	"r"	16	22	13	14	118
609	3	2	19	"m"	"r"	17	13	9	0	597
609	3	2	19	"m"	"r"	18	3	1	2	5
609	3	2	19	"m"	"r"	19	18	15	16	598
609	3	2	19	"m"	"r"	20	14	10	0	598
609	3	2	19	"m"	"r"	21	1	1	0	598
609	3	2	19	"m"	"r"	22	16	13	0	6
609	3	2	19	"m"	"r"	23	8	6	0	599
609	3	2	19	"m"	"r"	24	15	11	12	7
610	2	1	20	"m"	"r"	1	6	3	4	599
610	2	1	20	"m"	"r"	2	16	13	0	1
610	2	1	20	"m"	"r"	3	19	9	10	120
610	2	1	20	"m"	"r"	4	1	1	0	596
610	2	1	20	"m"	"r"	5	14	10	0	596
610	2	1	20	"m"	"r"	6	23	15	0	121
610	2	1	20	"m"	"r"	7	9	5	6	1
